latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.3348,78.5109,10.0,2024-02-12 04:34:21.733000+00:00,2024,2,12,4,4.2,4.38,11.308418333333332,2024-01-22 18:09:04.340000+00:00,280,14.860134157636365,20.43422908564815
41.3079,78.7072,10.0,2024-02-11 04:57:13.159000+00:00,2024,2,11,4,4.9,4.42,23.619048333333332,2024-01-22 18:09:04.340000+00:00,280,7.340307384274415,19.450102071759257
41.2608,78.776,10.0,2024-02-11 03:03:36.845000+00:00,2024,2,11,3,4.3,4.4,1.8934205555555557,2024-01-22 18:09:04.340000+00:00,280,10.258001338994102,19.37120954861111
41.1682,78.4703,10.0,2024-02-07 08:55:30.447000+00:00,2024,2,7,8,4.2,4.36,90.13511055555556,2024-01-22 18:09:04.340000+00:00,280,18.188716007665523,15.61557994212963
41.2212,78.573,10.0,2024-02-06 01:49:29.855000+00:00,2024,2,6,1,4.0,4.319999999999999,31.100164444444445,2024-01-22 18:09:04.340000+00:00,280,7.771236908494756,14.319739756944443
41.1733,78.7218,10.0,2024-02-04 01:18:58.257000+00:00,2024,2,4,1,4.9,4.390000000000001,48.50877722222222,2024-01-22 18:09:04.340000+00:00,280,10.76373121289519,12.298540706018517
41.2674,78.7029,10.0,2024-02-03 22:15:19.454000+00:00,2024,2,3,22,4.0,4.36,3.060778611111111,2024-01-22 18:09:04.340000+00:00,280,4.321706121962494,12.17100826388889
41.197,78.6497,10.0,2024-02-03 18:02:31.100000+00:00,2024,2,3,18,4.5,4.36,4.213431666666667,2024-01-22 18:09:04.340000+00:00,280,6.505998266206409,11.995448611111112
41.1801,78.6697,10.0,2024-02-03 16:34:46.983000+00:00,2024,2,3,16,4.6,4.369999999999999,1.4622547222222222,2024-01-22 18:09:04.340000+00:00,280,8.479269647128897,11.93452133101852
41.1787,78.627,10.0,2024-02-03 13:44:38.438000+00:00,2024,2,3,13,4.8,4.4399999999999995,2.8357069444444445,2024-01-22 18:09:04.340000+00:00,280,8.820383272735183,11.816366875
